ticker,exchange,alias,asset_type,currency
0115D0,KS,KODEX 조선TOP10,ETF,KRW
0115E0,KS,KODEX 코리아소버린AI,ETF,KRW
011690,KS,와이투솔루션,Stock,KRW
011700,KS,한신기계,Stock,KRW
011760,KS,현대코퍼레이션,Stock,KRW
011780,KS,금호석유화학,Stock,KRW
011785,KS,금호석유화학우,Stock,KRW
011790,KS,SKC,Stock,KRW
0117L0,KS,KODEX 26-12 금융채(AA-이상)액티브,ETF,KRW
0117V0,KS,TIGER 코리아AI전력기기TOP3플러스,ETF,KRW
011810,KS,STX,Stock,KRW
0118S0,KS,SOL 미국넥스트테크TOP10액티브,ETF,KRW
0118Z0,KS,ACE 미국AI테크핵심산업액티브,ETF,KRW
011930,KS,신성이엔지,Stock,KRW
0119H0,KS,KODEX 28-12 회사채(AA-이상)액티브,ETF,KRW
012030,KS,DB,Stock,KRW
0120G0,KS,삼양바이오팜,Stock,KRW
0120J0,KS,BNK 카카오그룹포커스,ETF,KRW
012160,KS,영흥,Stock,KRW
012170,KS,아센디오,Stock,KRW
012200,KS,계양전기,Stock,KRW
012205,KS,계양전기우,Stock,KRW
012280,KS,영화금속,Stock,KRW
0122W0,KS,RISE 26-11 회사채(AA-이상)액티브,ETF,KRW
